instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,s1_below_2,s1_below_0,6,s1_below_0,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s1_below_0,331,654,s1_below_3442
2,2011-01-02,1,0,s1_below_2,s1_below_0,0,s1_below_0,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s1_below_0,131,670,s1_below_3442
3,2011-01-03,1,0,s1_below_2,s1_below_0,1,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,120,1229,s1_below_3442
4,2011-01-04,1,0,s1_below_2,s1_below_0,2,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,108,1454,s1_below_3442
5,2011-01-05,1,0,s1_below_2,s1_below_0,3,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,82,1518,s1_below_3442
6,2011-01-06,1,0,s1_below_2,s1_below_0,4,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,88,1518,s1_below_3442
7,2011-01-07,1,0,s1_below_2,s1_below_0,5,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,148,1362,s1_below_3442
8,2011-01-08,1,0,s1_below_2,s1_below_0,6,s1_below_0,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,68,891,s1_below_3442
9,2011-01-09,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s2_0_0,54,768,s1_below_3442
10,2011-01-10,1,0,s1_below_2,s1_below_0,1,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,41,1280,s1_below_3442
11,2011-01-11,1,0,s1_below_2,s1_below_0,2,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,43,1220,s1_below_3442
